Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	EC number
P05425	reviewed	COPB_ENTHA	Copper-exporting P-type ATPase B (EC 7.2.2.8) (Cu(+)-exporting ATPase)	copB EHR_09090	Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258 / NCTC 12367 / WDCM 00089 / R)	745	7.2.2.8
P06736	reviewed	HLYC_ECOLX	Protein-lysine myristoyltransferase HlyC (EC 2.3.1.-) (Hemolysin C) (Hemolysin-activating lysine-acyltransferase HlyC) (Toxin-activating protein C, PHLY152)	hlyC	Escherichia coli	170	2.3.1.-
P09598	reviewed	PHLC_BACCE	Phospholipase C (PLC) (EC 3.1.4.3) (Cereolysin A) (Phosphatidylcholine cholinephosphohydrolase)	plc	Bacillus cereus	283	3.1.4.3
P09616	reviewed	HLA_STAAU	Alpha-hemolysin (Alpha-HL) (Alpha-toxin)	hly hla	Staphylococcus aureus	319	
P09983	reviewed	HLYAC_ECOLX	Hemolysin, chromosomal	hlyA	Escherichia coli	1023	
P0A6A3	reviewed	ACKA_ECOLI	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA ack b2296 JW2293	Escherichia coli (strain K12)	400	2.7.2.1
P0A6M4	reviewed	DTD_ECOLI	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl RNA deacylase) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase) (Gly-tRNA(Gly) deacylase)	dtd yihZ b3887 JW3858	Escherichia coli (strain K12)	145	3.1.1.96
P0A832	reviewed	SSRP_ECOLI	SsrA-binding protein (Small protein B)	smpB smqB b2620 JW2601	Escherichia coli (strain K12)	160	
P0AEJ6	reviewed	EUTB_ECOLI	Ethanolamine ammonia-lyase large subunit (EAL large subunit) (EC 4.3.1.7) (Ethanolamine ammonia-lyase alpha subunit) (Ethanolamine ammonia-lyase heavy chain) (Ethanolamine deaminase large subunit)	eutB b2441 JW2434	Escherichia coli (strain K12)	453	4.3.1.7
P0AFB1	reviewed	NLPI_ECOLI	Lipoprotein NlpI	nlpI yhbM b3163 JW3132	Escherichia coli (strain K12)	294	
P10868	reviewed	GAMT_RAT	Guanidinoacetate N-methyltransferase (EC 2.1.1.2)	Gamt	Rattus norvegicus (Rat)	236	2.1.1.2
P10912	reviewed	GHR_HUMAN	Growth hormone receptor (GH receptor) (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]	GHR	Homo sapiens (Human)	638	
P13128	reviewed	TACY_LISMO	Listeriolysin O (LLO) (Thiol-activated cytolysin)	hly hlyA lisA lmo0202	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	529	
P13304	reviewed	ANTIH_BPT4	Antiholin (Protein rI)	rI 58.6 rIA tk.-2	Enterobacteria phage T4 (Bacteriophage T4)	97	
P16009	reviewed	NEEDL_BPT4	Pre-baseplate central spike protein Gp5 (Pre-Gp5) (Peptidoglycan hydrolase gp5) (EC 3.2.1.17) [Cleaved into: Baseplate central spike protein Gp5* (Mature Gp5); Gp5C]	5	Enterobacteria phage T4 (Bacteriophage T4)	575	3.2.1.17
P21472	reviewed	RS12_BACSU	Small ribosomal subunit protein uS12 (30S ribosomal protein S12) (BS12)	rpsL fun strA BSU01100	Bacillus subtilis (strain 168)	138	
P21964	reviewed	COMT_HUMAN	Catechol O-methyltransferase (EC 2.1.1.6)	COMT	Homo sapiens (Human)	271	2.1.1.6
P24554	reviewed	RADA_ECOLI	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)	radA sms b4389 JW4352	Escherichia coli (strain K12)	460	3.6.4.-
P27380	reviewed	EXLYS_BPPRD	Transglycosylase (EC 4.2.2.n1) (Protein P7)	VII	Enterobacteria phage PRD1 (Bacteriophage PRD1)	265	4.2.2.n1
P29250	reviewed	LOX2_ORYSJ	Linoleate 9S-lipoxygenase 2 (EC 1.13.11.58) (Lipoxygenase 2) (Lipoxygenase L-2)	LOX1.1 Os03g0738600 LOC_Os03g52860 OsJ_12500 OSJNBa0057G07.15	Oryza sativa subsp. japonica (Rice)	870	1.13.11.58
P31107	reviewed	DRS2_PHYBI	Dermaseptin-B2 (DRS-B2) (Adenoregulin) (Dermaseptin BII)	ADR	Phyllomedusa bicolor (Two-colored leaf frog) (Rana bicolor)	81	
P31228	reviewed	OXDD_BOVIN	D-aspartate oxidase (DASOX) (DASPO) (DDO) (EC 1.4.3.1)	DDO	Bos taurus (Bovine)	341	1.4.3.1
P36556	reviewed	BASR_SALTY	Transcriptional regulatory protein BasR	basR parA pmrA STM4292	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	222	
P68699	reviewed	ATPL_ECOLI	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (Dicyclohexylcarbodiimide-binding protein) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE papH uncE b3737 JW3715	Escherichia coli (strain K12)	79	
P77335	reviewed	HLYE_ECOLI	Hemolysin E, chromosomal (Cytotoxin ClyA) (Hemolysis-inducing protein) (Latent pore-forming 34 kDa hemolysin) (Silent hemolysin SheA)	hlyE clyA hpr sheA ycgD b1182 JW5181	Escherichia coli (strain K12)	303	
Q0E9H9	reviewed	DSCA1_DROME	Cell adhesion molecule Dscam1 (Down syndrome cell adhesion molecule homolog)	Dscam1 Dscam p270 CG17800	Drosophila melanogaster (Fruit fly)	2016	
Q0T963	reviewed	CDIA_ECOL5	tRNA nuclease CdiA (tRNase CdiA) (EC 3.1.-.-) (Anticodon nuclease CdiA) (CdiA-EC536) (Toxin CdiA)	cdiA ECP_4580	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	3242	3.1.-.-
Q0TV31	reviewed	PHLC_CLOP1	Phospholipase C (PLC) (EC 3.1.4.3) (Alpha-toxin) (Hemolysin) (Lecithinase) (Phosphatidylcholine cholinephosphohydrolase)	plc cpa CPF_0042	Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A)	398	3.1.4.3
Q29983	reviewed	MICA_HUMAN	MHC class I polypeptide-related sequence A (MIC-A)	MICA PERB11.1	Homo sapiens (Human)	383	
Q61586	reviewed	GPAT1_MOUSE	Glycerol-3-phosphate acyltransferase 1, mitochondrial (GPAT-1) (EC 2.3.1.15) (P90)	Gpam Gpat1	Mus musculus (Mouse)	827	2.3.1.15
Q62930	reviewed	CO9_RAT	Complement component C9	C9	Rattus norvegicus (Rat)	554	
Q6PQK2	reviewed	NP7_RHOPR	Nitrophorin-7 (NP7) (EC 1.7.6.1) (Nitrite dismutase)		Rhodnius prolixus (Triatomid bug)	205	1.7.6.1
Q6QGE7	reviewed	TMP_BPT5	Tape measure protein pb2 precursor (TMP-pb2) (Pore-forming protein pb2) (Tail protein pb2) [Cleaved into: Tape measure protein pb2; Exolysin (EC 4.2.2.n1)]	D18-19 T5.140 T5p136	Escherichia phage T5 (Enterobacteria phage T5)	1219	4.2.2.n1
Q75WF1	reviewed	OXDD_VANHU	D-aspartate oxidase (ChDASPO) (ChDDO) (DASOX) (DASPO) (DDO) (EC 1.4.3.1)	DDO	Vanrija humicola (Yeast) (Cryptococcus humicola)	370	1.4.3.1
Q99042	reviewed	OXDA_TRIVR	D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3) (TvDAO1)	DAO1	Trigonopsis variabilis (Yeast)	356	1.4.3.3
Q99497	reviewed	PARK7_HUMAN	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)	PARK7	Homo sapiens (Human)	189	3.1.2.-; 3.5.1.-; 3.5.1.124
Q9X2V7	reviewed	MCJA_ECOLX	Microcin J25 (MccJ25) (Class II lasso peptide) (Ribosomally synthesized and post-translationally modified peptide) (RiPP)	mcjA	Escherichia coli	58	
C0PBF8	reviewed	OXDA_MAIZE	D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3) (D-aspartate oxidase) (DASOX) (DASPO) (DDO) (EC 1.4.3.1) (ZmDAAO)	DAO ZEAMMB73_Zm00001d018820	Zea mays (Maize)	386	1.4.3.1; 1.4.3.3
D0EXD3	reviewed	AFP_PENCH	Antifungal protein B	pafB	Penicillium chrysogenum (Penicillium notatum)	92	
O32591	reviewed	ESPP_ECOLX	Serine protease EspP (EC 3.4.21.-) [Cleaved into: Secreted autotransporter protein EspP (Extracellular serine protease plasmid-encoded EspP); Autotransporter protein EspP translocator]	espP pssA	Escherichia coli	1300	3.4.21.-
O33174	reviewed	HPRT_METTM	Hypoxanthine/guanine phosphoribosyltransferase (HGPRTase) (EC 2.4.2.8) (Hypoxanthine (guanine) phosphoribosyltransferase)	hpt MTBMA_c17060	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	193	2.4.2.8
P08083	reviewed	CEAN_ECOLX	Colicin-N	cna	Escherichia coli	387	
P08715	reviewed	HLYAP_ECOLX	Hemolysin, plasmid	hlyA	Escherichia coli	1024	
P08895	reviewed	RL5_GEOSE	Large ribosomal subunit protein uL5 (50S ribosomal protein L5) (BL5) (BstL5)	rplE	Geobacillus stearothermophilus (Bacillus stearothermophilus)	179	
P09883	reviewed	CEA9_ECOLX	Colicin-E9 (EC 3.1.-.-)	col cei	Escherichia coli	582	3.1.-.-
P0A3I5	reviewed	CYAC_BORPE	Protein-lysine palmitoyltransferase CyaC (EC 2.3.1.-) (Cyclolysin-activating lysine-acyltransferase CyaC)	cyaC hlyC BP0758	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	185	2.3.1.-
P0A7Y2	reviewed	RNC_ECO57	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc Z3848 ECs3433	Escherichia coli O157:H7	226	3.1.26.3
P0DQX6	reviewed	COD_COLDA	Codesane (COD) (Codesan)		Colletes daviesanus (Plasterer bee)	18	
P11295	reviewed	IUCD_ECOLX	L-lysine N6-monooxygenase (EC 1.14.13.59) (Lysine 6-N-hydroxylase) (Lysine N6-hydroxylase) (Lysine-N-oxygenase)	iucD aerA	Escherichia coli	425	1.14.13.59
P11889	reviewed	PHL2_BACCE	Sphingomyelinase C (SMase) (EC 3.1.4.12) (Cereolysin B) (SMPLC) (Sphingomyelin phosphodiesterase)	sph	Bacillus cereus	333	3.1.4.12
P18579	reviewed	MURB_BACSU	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB ylxC BSU15230	Bacillus subtilis (strain 168)	303	1.3.1.98
P32890	reviewed	ELBP_ECOLX	Heat-labile enterotoxin B chain (LT-B, porcine) (LTP-B)	eltB ltpB	Escherichia coli	124	
P51616	reviewed	MCH_METTM	Methenyltetrahydromethanopterin cyclohydrolase (EC 3.5.4.27) (Methenyl-H4MPT cyclohydrolase)	mch MTBMA_c11690	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	320	3.5.4.27
P55299	reviewed	METE_METTM	Methionine synthase (EC 2.1.1.-) (Homocysteine methyltransferase) (Methylcobalamin:homocysteine methyltransferase)	metE MTBMA_c11710	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	309	2.1.1.-
P55300	reviewed	MTD_METTM	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	mtd MTBMA_c00500	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	276	1.5.98.1
P80305	reviewed	TYSY_METTM	Putative thymidylate synthase (TS) (TSase) (EC 2.1.1.-)	thyA MTBMA_c11700	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	223	2.1.1.-
P80862	reviewed	SERC_BACSU	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT) (Vegetative protein 234) (VEG234)	serC yhaF BSU10020	Bacillus subtilis (strain 168)	359	2.6.1.52
P84914	reviewed	MAST3_POLPI	Polybia-mastoparan-III (Polybia-MP-III) (Polybia-MPIII) (Mastoparan peptide) (MP) (Venom protein 13b) (VP13b)		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	14	
P84915	reviewed	MAST2_POLPI	Polybia-MP-II (Polybia-MPII) (Venom protein 13a) (VP13a)		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	14	
Q0KK59	reviewed	UNC79_MOUSE	Protein unc-79 homolog	Unc79 Kiaa1409	Mus musculus (Mouse)	2596	
Q30KP8	reviewed	DB136_HUMAN	Defensin beta 136 (Beta-defensin 136) (DEFB137)	DEFB136	Homo sapiens (Human)	78	
Q46971	reviewed	MCNN_ECOLX	Microcin N (Colicin 24) (Microcin-24) (Mcc24)	mcnN mtfS	Escherichia coli	89	
Q47112	reviewed	CEA7_ECOLX	Colicin-E7 (EC 3.1.-.-)	colE7 cea	Escherichia coli	576	3.1.-.-
Q50744	reviewed	MER_METTM	5,10-methylenetetrahydromethanopterin reductase (EC 1.5.98.2) (Coenzyme F420-dependent N(5),N(10)-methylenetetrahydromethanopterin reductase) (Methylene-H(4)MPT reductase)	mer MTBMA_c03270	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	321	1.5.98.2
Q50756	reviewed	HDRA_METTM	H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit A (EC 1.8.98.5) (CoB--CoM heterodisulfide reductase iron-sulfur subunit A)	hdrA MTBMA_c17680	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	659	1.8.98.5
Q52698	reviewed	RNC_RHOCA	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	228	3.1.26.3
Q6XQ97	reviewed	SPANU_BPT1	U-spanin (Gene product 11) (Unimolecular spanin) (gp11)	11	Escherichia phage T1 (Bacteriophage T1)	133	
Q83RJ4	reviewed	IPA3_SHIFL	E3 ubiquitin-protein ligase ipaH3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ipaH3)	ipaH3 SF1383	Shigella flexneri	571	2.3.2.27
Q99289	reviewed	HLT_VIBPA	Thermolabile hemolysin (TL) (Atypical phospholipase) (Lecithin-dependent hemolysin) (LDH) (Lysophospholipase) (Phospholipase A2)	VPA0226	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	418	
Q9Z4N4	reviewed	MCEA_KLEPN	Microcin E492 (MccE492)	mceA	Klebsiella pneumoniae	99	
W6HZ31	reviewed	IRSPI_IXORI	Kunitz-type serine protease inhibitor IrSPI (IrSPI) (BPTI/Kunitz family serine protease inhibitor) (Kunitz elastase inhibitor)	SPI	Ixodes ricinus (Common tick) (Acarus ricinus)	94	
A1ADV4	reviewed	EUTC_ECOK1	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC Ecok1_23500 APECO1_4108	Escherichia coli O1:K1 / APEC	295	4.3.1.7
A1AE97	reviewed	RNC_ECOK1	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc Ecok1_24930 APECO1_3964	Escherichia coli O1:K1 / APEC	226	3.1.26.3
A7ZPP0	reviewed	EUTC_ECO24	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC EcE24377A_2726	Escherichia coli O139:H28 (strain E24377A / ETEC)	295	4.3.1.7
A7ZQ11	reviewed	RNC_ECO24	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc EcE24377A_2853	Escherichia coli O139:H28 (strain E24377A / ETEC)	226	3.1.26.3
A8A2T8	reviewed	EUTC_ECOHS	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC EcHS_A2577	Escherichia coli O9:H4 (strain HS)	295	4.3.1.7
A8A377	reviewed	RNC_ECOHS	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc EcHS_A2722	Escherichia coli O9:H4 (strain HS)	226	3.1.26.3
B1IVR0	reviewed	RNC_ECOLC	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc EcolC_1110	Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks)	226	3.1.26.3
B1IWM2	reviewed	EUTC_ECOLC	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC EcolC_1239	Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks)	295	4.3.1.7
B1LMN4	reviewed	EUTC_ECOSM	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC EcSMS35_2595	Escherichia coli (strain SMS-3-5 / SECEC)	295	4.3.1.7
B1LP80	reviewed	RNC_ECOSM	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc EcSMS35_2720	Escherichia coli (strain SMS-3-5 / SECEC)	226	3.1.26.3
B1XAB1	reviewed	EUTC_ECODH	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECDH10B_2605	Escherichia coli (strain K12 / DH10B)	295	4.3.1.7
B1XB41	reviewed	RNC_ECODH	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECDH10B_2735	Escherichia coli (strain K12 / DH10B)	226	3.1.26.3
B5YZY5	reviewed	EUTC_ECO5E	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECH74115_3670	Escherichia coli O157:H7 (strain EC4115 / EHEC)	295	4.3.1.7
B5Z141	reviewed	RNC_ECO5E	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECH74115_3803	Escherichia coli O157:H7 (strain EC4115 / EHEC)	226	3.1.26.3
B6I516	reviewed	EUTC_ECOSE	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECSE_2730	Escherichia coli (strain SE11)	295	4.3.1.7
B6I5E1	reviewed	RNC_ECOSE	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECSE_2855	Escherichia coli (strain SE11)	226	3.1.26.3
B7LCI4	reviewed	EUTC_ECO55	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC EC55989_2729	Escherichia coli (strain 55989 / EAEC)	295	4.3.1.7
B7LDG0	reviewed	RNC_ECO55	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc EC55989_2855	Escherichia coli (strain 55989 / EAEC)	226	3.1.26.3
B7LKJ3	reviewed	EUTC_ESCF3	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC EFER_0730	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73)	295	4.3.1.7
B7LUZ7	reviewed	RNC_ESCF3	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc EFER_0507	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73)	226	3.1.26.3
B7M7E9	reviewed	EUTC_ECO8A	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECIAI1_2497	Escherichia coli O8 (strain IAI1)	295	4.3.1.7
B7M8I0	reviewed	RNC_ECO8A	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECIAI1_2678	Escherichia coli O8 (strain IAI1)	226	3.1.26.3
B7MHU1	reviewed	EUTC_ECO45	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECS88_2628	Escherichia coli O45:K1 (strain S88 / ExPEC)	295	4.3.1.7
B7MIQ2	reviewed	RNC_ECO45	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECS88_2740	Escherichia coli O45:K1 (strain S88 / ExPEC)	226	3.1.26.3
B7MXU7	reviewed	EUTC_ECO81	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECED1_2882	Escherichia coli O81 (strain ED1a)	295	4.3.1.7
B7MYJ8	reviewed	RNC_ECO81	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECED1_2996	Escherichia coli O81 (strain ED1a)	226	3.1.26.3
B7N630	reviewed	EUTC_ECOLU	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECUMN_2761	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	295	4.3.1.7
B7N6F5	reviewed	RNC_ECOLU	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECUMN_2888	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	226	3.1.26.3
B7NPX6	reviewed	EUTC_ECO7I	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECIAI39_2585	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	295	4.3.1.7
B7NRM0	reviewed	RNC_ECO7I	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECIAI39_2772	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	226	3.1.26.3
B7UH07	reviewed	RNC_ECO27	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc E2348C_2844	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	226	3.1.26.3
C4ZX13	reviewed	EUTC_ECOBW	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC BWG_2202	Escherichia coli (strain K12 / MC4100 / BW2952)	295	4.3.1.7
C4ZYJ0	reviewed	RNC_ECOBW	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc BWG_2331	Escherichia coli (strain K12 / MC4100 / BW2952)	226	3.1.26.3
N0EAL3	reviewed	NDB28_ANDMU	Mauriporin (Non-disulfide-bridged peptide 2.8) (NDBP-2.8)		Androctonus mauritanicus (Fat-tailed scorpion)	73	
O34163	reviewed	ACP_BRAHO	Acyl carrier protein (ACP) [Cleaved into: Beta-hemolysin]	acpP hlyA	Brachyspira hyodysenteriae (Treponema hyodysenteriae)	78	
O64362	reviewed	ENLYS_BPN15	SAR-endolysin (EC 3.2.1.17) (Endolysin) (Gene product 54) (gp54) (Lysis protein) (Lysozyme) (Muramidase)	54	Escherichia phage N15 (Bacteriophage N15)	178	3.2.1.17
O68677	reviewed	GVPA2_PRIMG	Gas vesicle protein A2 (GvpA2) (Gas vesicle structural protein B) (GvpB)	gvpA2 gvpB	Priestia megaterium (Bacillus megaterium)	88	
O68680	reviewed	GVPA1_PRIMG	Gas vesicle protein A1 (GvpA1) (Gas vesicle structural protein A) (GvpA)	gvpA1 gvpA	Priestia megaterium (Bacillus megaterium)	86	
O68973	reviewed	APCE_PICP2	Phycobiliprotein ApcE (EC 4.-.-.-) (Phycobilisome core-membrane linker phycobiliprotein ApcE)	apcE SYNPCC7002_A2009	Picosynechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum)	886	4.-.-.-
