Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	EC number
A6NFA1	reviewed	TIKI2_HUMAN	Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)	TRABD2B HKAT TIKI2	Homo sapiens (Human)	517	TRABD2B	3.4.-.-
A6NGU5	reviewed	GGT3_HUMAN	Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain]	GGT3P GGT3	Homo sapiens (Human)	568	GGT3P	2.3.2.2; 3.4.19.13
A6NHL2	reviewed	TBAL3_HUMAN	Tubulin alpha chain-like 3 (EC 3.6.5.-)	TUBAL3	Homo sapiens (Human)	446	TUBAL3	3.6.5.-
A6NHQ2	reviewed	FBLL1_HUMAN	RNA 2'-O-methyltransferase FBLL1 (EC 2.1.1.-) (Fibrillarin like 1)	FBLL1	Homo sapiens (Human)	334	FBLL1	2.1.1.-
A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	SMCHD1 KIAA0650	Homo sapiens (Human)	2005	SMCHD1	3.6.1.-
A6NJ78	reviewed	MET15_HUMAN	12S rRNA N(4)-cytidine methyltransferase METTL15 (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)	METTL15 METT5D1	Homo sapiens (Human)	407	METTL15	2.1.1.-
A6NK06	reviewed	IRG1_HUMAN	Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)	ACOD1 IRG1	Homo sapiens (Human)	481	ACOD1	4.1.1.6
A6NK58	reviewed	LIPT2_HUMAN	Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Lipoyltransferase 2) (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	LIPT2	Homo sapiens (Human)	231	LIPT2	2.3.1.181
A6NNM8	reviewed	TTL13_HUMAN	Tubulin polyglutamylase TTLL13 (EC 6.3.2.-) (Tubulin tyrosine ligase like 13) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13)	TTLL13 TTLL13P	Homo sapiens (Human)	815	TTLL13	6.3.2.-
A6NNY8	reviewed	UBP27_HUMAN	Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)	USP27X USP22L USP27	Homo sapiens (Human)	438	USP27X	3.4.19.12
A6PVC2	reviewed	TTLL8_HUMAN	Protein monoglycylase TTLL8 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 8)	TTLL8	Homo sapiens (Human)	850	TTLL8	6.3.2.-
A8K7I4	reviewed	CLCA1_HUMAN	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)	CLCA1 CACC1	Homo sapiens (Human)	914	CLCA1	3.4.-.-
A8MQ27	reviewed	NEU1B_HUMAN	E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)	NEURL1B NEURL3	Homo sapiens (Human)	555	NEURL1B	2.3.2.27
A8MUP2	reviewed	CSKMT_HUMAN	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)	CSKMT METTL12	Homo sapiens (Human)	240	CSKMT	2.1.1.-
A8MXV4	reviewed	NUD19_HUMAN	Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)	NUDT19	Homo sapiens (Human)	375	NUDT19	3.6.1.-; 3.6.1.77
B0YJ81	reviewed	HACD1_HUMAN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)	HACD1 PTPLA	Homo sapiens (Human)	288	HACD1	4.2.1.134
B2RXH2	reviewed	KDM4E_HUMAN	Lysine-specific demethylase 4E (EC 1.14.11.66) (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E)	KDM4E KDM4DL	Homo sapiens (Human)	506	KDM4E	1.14.11.66
C9JRZ8	reviewed	AK1BF_HUMAN	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)	AKR1B15	Homo sapiens (Human)	316	AKR1B15	1.1.1.-; 1.1.1.216; 1.1.1.300; 1.1.1.54; 1.1.1.64
O00115	reviewed	DNS2A_HUMAN	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	DNASE2 DNASE2A DNL2	Homo sapiens (Human)	360	DNASE2	3.1.22.1
O00116	reviewed	ADAS_HUMAN	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	AGPS AAG5	Homo sapiens (Human)	658	AGPS	2.5.1.26
O00141	reviewed	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	SGK1 SGK	Homo sapiens (Human)	431	SGK1	2.7.11.1
O00142	reviewed	KITM_HUMAN	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)	TK2	Homo sapiens (Human)	265	TK2	2.7.1.-; 2.7.1.21; 2.7.1.74
O00148	reviewed	DX39A_HUMAN	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	DDX39A DDX39	Homo sapiens (Human)	427	DDX39A	3.6.4.13
O00154	reviewed	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	Homo sapiens (Human)	380	ACOT7	3.1.2.2
O00167	reviewed	EYA2_HUMAN	Protein phosphatase EYA2 (EC 3.1.3.48) (Eyes absent homolog 2)	EYA2 EAB1	Homo sapiens (Human)	538	EYA2	3.1.3.48
O00187	reviewed	MASP2_HUMAN	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	MASP2	Homo sapiens (Human)	686	MASP2	3.4.21.104
O00194	reviewed	RB27B_HUMAN	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)	RAB27B	Homo sapiens (Human)	218	RAB27B	3.6.5.2
O00204	reviewed	ST2B1_HUMAN	Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)	SULT2B1 HSST2	Homo sapiens (Human)	365	SULT2B1	2.8.2.2
O00217	reviewed	NDUS8_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	NDUFS8	Homo sapiens (Human)	210	NDUFS8	7.1.1.2
O00219	reviewed	HYAS3_HUMAN	Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3)	HAS3	Homo sapiens (Human)	553	HAS3	2.4.1.212
O00237	reviewed	RN103_HUMAN	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (hKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103 homolog) (Zfp-103)	RNF103 ZFP103	Homo sapiens (Human)	685	RNF103	2.3.2.27
O00238	reviewed	BMR1B_HUMAN	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B	Homo sapiens (Human)	502	BMPR1B	2.7.11.30
O00257	reviewed	CBX4_HUMAN	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	CBX4	Homo sapiens (Human)	560	CBX4	2.3.2.-
O00299	reviewed	CLIC1_HUMAN	Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	Homo sapiens (Human)	241	CLIC1	1.8.-.-; 1.8.5.1
O00303	reviewed	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	357	EIF3F	3.4.19.12
O00308	reviewed	WWP2_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	WWP2	Homo sapiens (Human)	870	WWP2	2.3.2.26
O00311	reviewed	CDC7_HUMAN	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	CDC7 CDC7L1	Homo sapiens (Human)	574	CDC7	2.7.11.1
O00329	reviewed	PK3CD_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	PIK3CD	Homo sapiens (Human)	1044	PIK3CD	2.7.1.137; 2.7.1.153
O00338	reviewed	ST1C2_HUMAN	Sulfotransferase 1C2 (ST1C2) (EC 2.8.2.1) (Sulfotransferase 1C1) (SULT1C#1) (humSULTC2)	SULT1C2 SULT1C1	Homo sapiens (Human)	296	SULT1C2	2.8.2.1
O00370	reviewed	LORF2_HUMAN	LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]		Homo sapiens (Human)	1275		2.7.7.49; 3.1.21.-
O00391	reviewed	QSOX1_HUMAN	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	QSOX1 QSCN6 UNQ2520/PRO6013	Homo sapiens (Human)	747	QSOX1	1.8.3.2
O00408	reviewed	PDE2A_HUMAN	cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)	PDE2A	Homo sapiens (Human)	941	PDE2A	3.1.4.17
O00411	reviewed	RPOM_HUMAN	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	POLRMT	Homo sapiens (Human)	1230	POLRMT	2.7.7.6
O00418	reviewed	EF2K_HUMAN	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K	Homo sapiens (Human)	725	EEF2K	2.7.11.20
O00429	reviewed	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736	DNM1L	3.6.5.5
O00442	reviewed	RTCA_HUMAN	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1)	RTCA RPC RPC1 RTC1 RTCD1	Homo sapiens (Human)	366	RTCA	6.5.1.4
O00443	reviewed	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	PIK3C2A	Homo sapiens (Human)	1686	PIK3C2A	2.7.1.137; 2.7.1.153; 2.7.1.154
O00444	reviewed	PLK4_HUMAN	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	PLK4 SAK STK18	Homo sapiens (Human)	970	PLK4	2.7.11.21
O00462	reviewed	MANBA_HUMAN	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	MANBA MANB1	Homo sapiens (Human)	879	MANBA	3.2.1.25
O00469	reviewed	PLOD2_HUMAN	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	PLOD2	Homo sapiens (Human)	737	PLOD2	1.14.11.4
O00487	reviewed	PSDE_HUMAN	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	Homo sapiens (Human)	310	PSMD14	3.4.19.-
O00506	reviewed	STK25_HUMAN	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	STK25 SOK1 YSK1	Homo sapiens (Human)	426	STK25	2.7.11.1
O00507	reviewed	USP9Y_HUMAN	Ubiquitin carboxyl-terminal hydrolase 9Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)	USP9Y DFFRY	Homo sapiens (Human)	2555	USP9Y	3.4.19.12
O00519	reviewed	FAAH1_HUMAN	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Fatty acid ester hydrolase) (EC 3.1.1.-) (Oleamide hydrolase 1)	FAAH FAAH1	Homo sapiens (Human)	579	FAAH	3.1.1.-; 3.5.1.99
O00571	reviewed	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662	DDX3X	3.6.4.13
O00584	reviewed	RNT2_HUMAN	Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6)	RNASET2 RNASE6PL	Homo sapiens (Human)	256	RNASET2	4.6.1.19
O00587	reviewed	MFNG_HUMAN	Beta-1,3-N-acetylglucosaminyltransferase manic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)	MFNG	Homo sapiens (Human)	321	MFNG	2.4.1.222
O00625	reviewed	PIR_HUMAN	Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)	PIR	Homo sapiens (Human)	290	PIR	1.13.11.24
O00635	reviewed	TRI38_HUMAN	E3 ubiquitin-protein ligase TRIM38 (EC 2.3.2.27) (RING finger protein 15) (Tripartite motif-containing protein 38) (Zinc finger protein RoRet)	TRIM38 RNF15 RORET	Homo sapiens (Human)	465	TRIM38	2.3.2.27
O00743	reviewed	PPP6_HUMAN	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	PPP6C PPP6	Homo sapiens (Human)	305	PPP6C	3.1.3.16
O00746	reviewed	NDKM_HUMAN	Nucleoside diphosphate kinase, mitochondrial (NDK) (NDP kinase, mitochondrial) (EC 2.7.4.6) (Nucleoside diphosphate kinase D) (NDPKD) (nm23-H4)	NME4 NM23D	Homo sapiens (Human)	187	NME4	2.7.4.6
O00748	reviewed	EST2_HUMAN	Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56)	CES2 ICE	Homo sapiens (Human)	559	CES2	3.1.1.1; 3.1.1.56; 3.1.1.84
O00750	reviewed	P3C2B_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.137) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	PIK3C2B	Homo sapiens (Human)	1634	PIK3C2B	2.7.1.137; 2.7.1.154
O00754	reviewed	MA2B1_HUMAN	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	MAN2B1 LAMAN MANB	Homo sapiens (Human)	1011	MAN2B1	3.2.1.24
O00757	reviewed	F16P2_HUMAN	Fructose-1,6-bisphosphatase isozyme 2 (FBPase 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)	FBP2	Homo sapiens (Human)	339	FBP2	3.1.3.11
O00762	reviewed	UBE2C_HUMAN	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	UBE2C UBCH10	Homo sapiens (Human)	179	UBE2C	2.3.2.23; 2.3.2.24
O00763	reviewed	ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	ACACB ACC2 ACCB	Homo sapiens (Human)	2458	ACACB	6.4.1.2
O00764	reviewed	PDXK_HUMAN	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	PDXK C21orf124 C21orf97 PKH PNK PRED79	Homo sapiens (Human)	312	PDXK	2.7.1.35
O00767	reviewed	SCD_HUMAN	Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase)	SCD FADS5 SCD1 SCDOS	Homo sapiens (Human)	359	SCD	1.14.19.1
O14494	reviewed	PLPP1_HUMAN	Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a)	PLPP1 LPP1 PPAP2A	Homo sapiens (Human)	284	PLPP1	3.1.3.-; 3.1.3.106; 3.1.3.4; 3.6.1.75
O14495	reviewed	PLPP3_HUMAN	Phospholipid phosphatase 3 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP)	PLPP3 LPP3 PPAP2B	Homo sapiens (Human)	311	PLPP3	3.1.3.-; 3.1.3.4
